fix,before,after
copyedit,having the grace period of a kicked hornet’s nest,having the grace of a kicked hornet’s nest
copyedit,Five more minutes past.,Five more minutes passed.
copyedit,a generous curve.”-+,a generous curve.”
copyedit,still stunned from the meeting when Carina asked,"still stunned from the meeting, when Carina asked"
copyedit,“We don’t—” She stopped walking.,“We don’t—” She cut herself off.
copyedit,One embedded into her shoulder and,One buried itself in her shoulder and
copyedit,More heat than his fathers shop,More heat than his father’s shop
copyedit,So they all still settled into a fighting stance.,So they all settled into a fighting stance anyway.
copyedit,In your experienced opinion”,In your experienced opinion?”
copyedit,he keeps trying to make her feel better,he kept trying to make her feel better
copyedit,dropping ordinance directly,dropping ordnance directly
copyedit,Every crate has a destination.,Every crate had a destination.
copyedit,but his fingers thick and clumsy inside gloves,but his fingers were thick and clumsy inside gloves
copyedit,He shoved his under his armpits,He shoved his hands under his armpits
copyedit,already awake.The satyr,already awake. The satyr
copyedit,on her mothers face,on her mother’s face
copyedit,Each one is necessary.,Each one was necessary.
copyedit,making  her grip,making her grip
copyedit,sent the spirit  ahead,sent the spirit ahead
copyedit,twenty feet.  His hand,twenty feet. His hand
copyedit,"said, and  he spoke","said, and he spoke"
qi->ki,16 instances,standardized to ki
paragraph split,"“I’ve been preparing for it,” Uthesia said. “Planning implies I’d decided. I had",s I’d decided. I hadn’t. Not until now.” || “How?” Gormund asked. “You can’t exactly
paragraph split,The room took a moment with that. Muse heard it land differently on each of them,"f it was larger than anyone had guessed. || “There’s a problem,” Uthesia continued. "
