chapter,paragraph_in_chapter,fix,before,after
Chapter One,4,period->comma,‘Twenty-two days.’ Muse thought as she brought the axe down and fe,"‘Twenty-two days,’ Muse thought as she brought the axe down and fe"
Chapter One,10,period->comma,"“It helps me think.” She said. It also helped her not think, and","“It helps me think,” she said. It also helped her not think, and"
Chapter One,16,period->comma,"‘She’s not.’ Muse thought, and swung the axe so hard that th","‘She’s not,’ Muse thought, and swung the axe so hard that th"
Chapter One,17,period->comma,“Easy.” He said gently.,"“Easy,” he said gently."
Chapter One,20,period->comma,"“Fragments are still something.” He said from his seat on the wall, and the","“Fragments are still something,” he said from his seat on the wall, and the"
Chapter One,21,period->comma,"“Maybe.” Muse agreed, and picked up the axe again becau","“Maybe,” Muse agreed, and picked up the axe again becau"
Chapter One,27,period->comma,survive another week out there.” Gormund muttered to the boots like they could hear ,"survive another week out there,” Gormund muttered to the boots like they could hear "
Chapter One,28,period->comma,‘And here we go.’ Carina thought and flicked the coin higher.,"‘And here we go,’ Carina thought and flicked the coin higher."
Chapter One,29,lowercase tag,“Who are those for?” She asked without looking at him.,“Who are those for?” she asked without looking at him.
Chapter One,41,period->comma,"ng clever, it doesn’t suit you.” He growled, and Carina grinned at the ceiling","ng clever, it doesn’t suit you,” he growled, and Carina grinned at the ceiling"
Chapter One,43,period->comma,“The Thane wants to see us.” Uthesia said flatly. “All of us.”,"“The Thane wants to see us,” Uthesia said flatly. “All of us.”"
Chapter One,47,period->comma,‘He already knew.’ She thought. ‘Bastard probably counted the bar,"‘He already knew,’ she thought. ‘Bastard probably counted the bar"
Chapter One,57,period->comma,lve that can’t feed themselves.” Aldrich answered without hesitation. The man had cl,"lve that can’t feed themselves,” Aldrich answered without hesitation. The man had cl"
Chapter One,58,period->comma,"“Farming’s out.” Aldrich continued, “ground’s frozen past what any pl","“Farming’s out,” Aldrich continued, “ground’s frozen past what any pl"
Chapter One,60,period->comma,getting just barely any colder.’ Muse thought with a faint ache of affection she,"getting just barely any colder,’ Muse thought with a faint ache of affection she"
Chapter One,65,period->comma,"n don’t come back for our sake.” Aldrich said, and the flatness in his voice cra","n don’t come back for our sake,” Aldrich said, and the flatness in his voice cra"
Chapter One,74,period->comma,"“We’ll go.” She said, and the prophet’s voice came out ","“We’ll go,” she said, and the prophet’s voice came out "
Chapter One,76,period->comma,"“First light, Cain.” She repeated, softer this time, and turned her ","“First light, Cain,” she repeated, softer this time, and turned her "
Chapter One,78,period->comma,"“First light.” He agreed, and his voice was steady as stone","“First light,” he agreed, and his voice was steady as stone"
Chapter One,80,period->comma,een doing that this whole time.” Gormund grumbled.,"een doing that this whole time,” Gormund grumbled."
Chapter One,83,period->comma,‘One syllable.’ Muse thought as they filed out of the hall and ,"‘One syllable,’ Muse thought as they filed out of the hall and "
Chapter Two,3,period->comma,‘Too quiet.’ He thought as they passed the last of Velldal,"‘Too quiet,’ he thought as they passed the last of Velldal"
Chapter Two,13,period->comma,"‘Good man.’ He thought, and left it at that.","‘Good man,’ he thought, and left it at that."
Chapter Two,21,period->comma,“No.” He said immediately and kept walking.,"“No,” he said immediately and kept walking."
Chapter Two,28,lowercase tag,“Really?” He said flatly.,“Really?” he said flatly.
