id,chapter,paragraph_in_chapter,before,after
B2-002,Chapter One,19,"Medical tent, a healer’s hands on his chest, the taste of blood and potion in his mouth, the confused faces of people who had seen the wound and didn’t understand how he was breathing.","Medical tent, a healer’s hands on his chest, the taste of blood and potion in his mouth, confusion on every face. They’d seen the wound, and he was still breathing."
B2-003,Chapter One,67,"Her voice came from the pile by the hearth, quiet, alert, the voice of someone who hadn’t been sleeping as deeply as she’d appeared.","Her voice came from the pile by the hearth, quiet, alert. She hadn’t been sleeping as deeply as she’d appeared."
B2-004,Chapter One,76,"The grief was stored, packed away behind whatever wall she kept it behind, replaced by the focus of a woman who had decided that tonight’s problem was solvable and she intended to solve it.","The grief was stored, packed away behind whatever wall she kept it behind, replaced by focus. Tonight’s problem was solvable, and she intended to solve it."
B2-005,Chapter Two,50,"Civilians lined the walls, sitting on the floor, leaning against each other, their faces carrying the hollow look of people who had been hungry for too long.","Civilians lined the walls, sitting on the floor, leaning against each other, their faces hollowed out by too long without enough food."
B2-007,Chapter Two,59,He was older than the receptionist by twenty years but moved with the economy of someone who hadn’t stopped moving in weeks.,"He was older than the receptionist by twenty years but moved with a spare economy, nothing wasted. He hadn’t stopped moving in weeks."
B2-008,Chapter Two,78,"The sounds of the guild hall filtered through the door, coughing, low conversation, the shuffling of people who had nowhere else to go.","The sounds of the guild hall filtered through the door, coughing, low conversation, the shuffle of people with nowhere else to go."
B2-009,Chapter Four,38,"Real footsteps, real weight on stone, the sound of someone who had followed the noise and found the fight.","Real footsteps, real weight on stone. Someone had followed the noise and found the fight."
B2-011,Chapter Four,57,The clothes of a man who didn’t dress to impress but to remind you of the difference between what he had and what you didn’t.,"Clothes that weren’t chosen to impress, chosen to remind you of the difference between what he had and what you didn’t."
B2-012,Chapter Four,82,"Close, the way the group sat by the fire, the proximity of people who had survived something together and needed to feel another living body nearby to believe it was over.","Close, the way the group sat by the fire, survivors’ proximity, needing another living body near to believe it was over."
B2-013,Chapter Five,40,"“Now Jane, it ain’t like that,” Billy said, pulling out a chair and dropping into it with the boneless grace of a man who was always comfortable.","“Now Jane, it ain’t like that,” Billy said, pulling out a chair and dropping into it, boneless, comfortable anywhere by default."
B2-014,Chapter Five,55,"Sitting, not lying down, the upright posture of a man who’d fallen asleep on watch.","Sitting, not lying down, upright, the posture of falling asleep on watch."
B2-015,Chapter Five,64,The pale of someone who had been losing blood for hours without stopping.,The pale that comes from losing blood for hours without stopping.
B2-018,Chapter Six,57,"Not running, the ice wouldn’t forgive running, but the steady, urgent pace of people who understood that the surface beneath them was a courtesy that could be revoked.","Not running, the ice wouldn’t forgive running, but a steady, urgent pace, everyone understanding that the surface beneath them was a courtesy that could be revoked."
B2-019,Chapter Six,104,"She asked Jane, who walked beside her with the long stride and permanent scowl of a woman who considered conversation a necessary evil.","She asked Jane, who walked beside her with a long stride and a permanent scowl, treating conversation as a necessary evil."
B2-020,Chapter Seven,16,"Ghislaine asked, her tail swishing, her yellow eyes bright with the joy of someone who was about to be given permission to do her favorite thing.","Ghislaine asked, her tail swishing, her yellow eyes bright. Somebody was about to give her permission to do her favorite thing."
B2-021,Chapter Seven,26,"The yellow eyes, the dragon scales, the stillness of a man who could end most conflicts by standing up, all of it held steady.","The yellow eyes, the dragon scales, a stillness that could end most conflicts by standing up, all of it held steady."
B2-022,Chapter Seven,35,"“Now,” Asriel said, and his voice had the edge of a man who had been patient long enough.","“Now,” Asriel said, with the edge of patience running out."
B2-024,Chapter Seven,51,"The voice preceded the man, warm, amused, the cadence of someone who’d been listening from outside and had chosen his entrance for maximum impact.","The voice preceded the man, warm, amused. He’d been listening from outside, and he’d chosen his entrance for maximum impact."
B2-025,Chapter Seven,62,"Even Asriel looked mildly amused, the grudging amusement of a man who recognized showmanship even when he disapproved of it.","Even Asriel looked mildly, grudgingly amused, a connoisseur of showmanship despite himself."
B2-026,Chapter Seven,64,"The sound was quiet, resigned, the sigh of a man who had weighed the options and found them all insufficient.","The sound was quiet, resigned, every option weighed and found insufficient."
B2-028,Chapter Nine,4,Barbatos adjusted his cape with the composure of a man who’d just stepped through a hole between planes and found the experience mildly inconvenient.,"Barbatos adjusted his cape, composed, as though stepping through a hole between planes had been mildly inconvenient at worst."
