chapter,paragraph_in_chapter,before,after
Chapter One,27,Not a fatal blow this time. Not a single wound that killed him. Just,"No fatal blow this time, no single wound that killed him. Just"
Chapter Four,42,Not thin this time. Not a building whisper. A wall,"Not thin this time, not a building whisper. A wall"
Chapter Eight,94,Not elegant. Not what she would have done with magic. But,"Inelegant, nothing like what she would have done with magic. But"
Chapter Nine,37,Not trade goods. Not raw materials. Something,Not trade goods or raw materials. Something
Chapter Eighteen,134,Not disappointment. Not even authority.,"Not disappointment, not even authority."
Chapter Twenty-Six,50,Not enough time. Not enough power.’,"Not enough time, not enough power.’"
Chapter Fourteen,36,the particular chemical signature of a population that had been afraid for too long,the chemical signature of a population afraid for too long
Chapter Fourteen,144,with the particular drama that was either calculated or involuntary,with a drama that was either calculated or involuntary
Chapter Nineteen,42,and the particular way he cleared his throat when he was about to say something that mattered,and the small throat-clear that meant he was about to say something that mattered
Chapter Nineteen,56,the particular way his weight shifted when he was trying to seem casual about something he wasn’t casual about,his weight settling with a studied casualness that meant the opposite
Chapter Twenty,63,the particular irritation of a craftsman,the irritation of a craftsman
Chapter Twenty-One,101,controlled in the particular way that meant it was being controlled instead of occurring naturally,audibly managed rather than natural
Chapter Twenty-Two,48,the particular flatness that could mean absolute confidence or absolute deadpan and offered no way to distinguish between the two,"a flatness that could mean absolute confidence or absolute deadpan, with no way to tell which"
Chapter Twenty-Nine,83,the particular laughter of a man watching a plan succeed beyond what he’d designed it to do,the laughter of a plan succeeding beyond what it had been designed to do
Chapter Thirty,4,the particular way they both carried their weight slightly forward,the same forward set to their weight
Chapter Thirty-One,24,the particular sound of a man agreeing with something he couldn’t quite support,the sound of a man agreeing with something he couldn’t quite support
Chapter Thirty-Three,75,the particular dignity of a young man who was about to deliver a speech he’d clearly rehearsed,the dignity of a young man about to deliver a clearly rehearsed speech
Chapter Eight,92,One. Two. Three. Kept the rhythm.,"One, two, three. Kept the rhythm."
Chapter Two,70,the kind of tired that sleep couldn’t fix,a tired that sleep couldn’t fix
Chapter Eleven,85,the kind of raw material that Gragorgan’s forges consumed,raw material Gragorgan’s forges consumed
Chapter Fifteen,119,the kind of flat that shouldn’t exist in a region that the map showed as having a settlement,impossibly flat for a region the map showed as having a settlement
Chapter Seventeen,16,the kind of door that required keys,a door that required keys
Chapter Eleven,31,the way you know things you’ve seen on maps but never thought about,"map-knowledge, seen but never thought about"
Chapter Twelve,68,as she walked through it the way water parts around a stone,as she walked through it
Chapter Seventeen,66,"reflected the light the way an animal’s eyes reflected light, bright","caught the light like an animal’s, bright"
Chapter Thirty-One,119,cradling it the way a jeweler cradles a flawless stone,cradling it like a relic
Chapter Thirty-Eight,99,studying her face the way a researcher studies a specimen,studying her face like a specimen
Chapter Four,36,"His eyes went bloodshot, the capillaries bursting from the strain","His eye went bloodshot, the capillaries bursting from the strain"
Chapter Four,47,"His eyes were bloodshot, the capillaries bursting from strain","His eye was bloodshot, the capillaries bursting from strain"
Chapter Four,49,His eyes were open. They weren’t seeing anything.,His eye was open. It wasn’t seeing anything.
Chapter Thirteen,8,His eyes opened.,His eye opened.
